Model               	Val PSNR  	Test PSNR 	Val Time [ms] 	Test Time [ms]	Ave Time [ms] 	Params [M]	FLOPs [G] 	Acts [M]	Mem [M] 	Conv    
00_SPAN             	26.94     	27.01     	8.00          	7.47          	7.74          	0.151     	9.83      	41.68   	705.24  	  22    
01_PDS              	26.90     	26.99     	6.96          	6.44          	6.70          	0.142     	9.25      	39.06   	369.90  	  18    
04_ZenoSR           	26.90     	27.01     	47.90         	43.02         	45.46         	0.038     	2.68      	153.82  	364.01  	 102    
05_SPANMamba_single_1_4T05	26.90     	27.00     	39.53         	37.53         	38.53         	1.106     	33.40     	106.95  	1469.35 	  34    
06_HAESR            	27.08     	27.22     	88.18         	83.99         	86.08         	0.353     	26.61     	503.78  	1393.23 	 165    
009_RFDN_SPAN       	26.91     	26.98     	17.36         	15.96         	16.66         	0.346     	22.60     	84.54   	689.30  	  36    
10_HFENet           	26.92     	27.03     	34.75         	32.53         	33.64         	0.144     	8.91      	259.92  	249.32  	 157    
         11_VSCINet 	26.90     	27.03     	54.01         	47.56         	50.79         	0.051     	3.30      	184.13  	483.96  	 169    
12_DWMamba          	26.94     	27.06     	104.28        	108.70        	106.49        	0.674     	19.34     	119.54  	971.90  	 143    
15_DSCF_Fused       	26.92     	26.99     	8.40          	7.36          	7.88          	0.126     	8.22      	38.93   	516.48  	  22    
16_PKDSR_FINAL_CKPT 	26.91     	27.00     	7.04          	6.56          	6.80          	0.144     	9.40      	39.32   	369.91  	  18    
17_AMCANet          	26.90     	27.02     	18.74         	17.78         	18.26         	0.086     	5.24      	192.17  	1008.65 	 136    
18_DISP             	26.90     	27.02     	6.73          	6.29          	6.51          	0.164     	10.69     	40.89   	581.38  	  19    
20_ERRN2            	26.90     	27.01     	9.84          	8.91          	9.37          	0.246     	16.06     	57.67   	515.43  	  27    
21_SAFMN            	26.80     	26.91     	131.89        	127.50        	129.70        	0.149     	9.62      	176.11  	322.37  	 107    
22_SPANV2_ESR_C2    	26.92     	27.00     	5.69          	4.80          	5.24          	0.139     	1.59      	42.99   	417.51  	  18    
